2006_March_Madness_Full_Results_With_Final4
Region,Round,Matchup,Score
East,First Round,(1) Connecticut vs. (16) Albany,72–59
East,First Round,(8) Kentucky vs. (9) UAB,69–64
East,First Round,(5) Washington vs. (12) Utah State,75–61
East,First Round,(4) Illinois vs. (13) Air Force,78–69
East,First Round,(6) Michigan State vs. (11) George Mason,65–75
East,First Round,(3) North Carolina vs. (14) Murray State,69–65
East,First Round,(7) Wichita State vs. (10) Seton Hall,86–66
East,First Round,(2) Tennessee vs. (15) Winthrop,63–61
East,Second Round,(1) Connecticut vs. (8) Kentucky,87–83
East,Second Round,(5) Washington vs. (4) Illinois,67–64
East,Second Round,(11) George Mason vs. (3) North Carolina,65–60
East,Second Round,(7) Wichita State vs. (2) Tennessee,80–73
East,Sweet 16,(1) Connecticut vs. (5) Washington,98–92
East,Sweet 16,(11) George Mason vs. (7) Wichita State,63–55
East,Elite 8,(11) George Mason vs. (1) Connecticut,86–84
West,First Round,(1) Memphis vs. (16) Oral Roberts,94–78
West,First Round,(8) Arkansas vs. (9) Bucknell,55–59
West,First Round,(5) Pittsburgh vs. (12) Kent State,79–64
West,First Round,(4) Kansas vs. (13) Bradley,73–77
West,First Round,(6) Indiana vs. (11) San Diego State,87–83
West,First Round,(3) Gonzaga vs. (14) Xavier,79–75
West,First Round,(7) Marquette vs. (10) Alabama,85-90
West,First Round,(2) UCLA vs. (15) Belmont,78–44
West,Second Round,(1) Memphis vs. (9) Bucknell,72–56
West,Second Round,(5) Pittsburgh vs. (13) Bradley,66–72
West,Second Round,(3) Gonzaga vs. (6) Indiana,90–80
West,Second Round,(2) UCLA vs. (10) Alabama,62–59
West,Sweet 16,(1) Memphis vs. (13) Bradley,80–64
West,Sweet 16,(2) UCLA vs. (3) Gonzaga,73–71
West,Elite 8,(2) UCLA vs. (1) Memphis,50–45
Midwest,First Round,(1) Villanova vs. (16) Monmouth,58–45
Midwest,First Round,(8) Arizona vs. (9) Wisconsin,94–75
Midwest,First Round,(5) Nevada vs. (12) Montana,79–87
Midwest,First Round,(4) Boston College vs. (13) Pacific,88–76
Midwest,First Round,(6) Oklahoma vs. (11) Wisconsin-Milwaukee,74–82
Midwest,First Round,(3) Florida vs. (14) South Alabama,76–50
Midwest,First Round,(7) Georgetown vs. (10) Northern Iowa,54–49
Midwest,First Round,(2) Ohio State vs. (15) Davidson,70–62
Midwest,Second Round,(1) Villanova vs. (8) Arizona,82–78
Midwest,Second Round,(4) Boston College vs. (12) Montana,69–56
Midwest,Second Round,(3) Florida vs. (11) Wisconsin-Milwaukee,82–60
Midwest,Second Round,(7) Georgetown vs. (2) Ohio State,70–52
Midwest,Sweet 16,(1) Villanova vs. (4) Boston College,60–59
Midwest,Sweet 16,(3) Florida vs. (7) Georgetown,57–53
Midwest,Elite 8,(3) Florida vs. (1) Villanova,75–62
South,First Round,(1) Duke vs. (16) Southern,70–54
South,First Round,(8) George Washington vs. (9) UNC Wilmington,88–85
South,First Round,(5) Syracuse vs. (12) Texas A&M,58–66
South,First Round,(4) LSU vs. (13) Iona,80–64
South,First Round,(6) West Virginia vs. (11) Southern Illinois,64–46
South,First Round,(3) Iowa vs. (14) Northwestern State,63–64
South,First Round,(7) California vs. (10) NC State,52–58
South,First Round,(2) Texas vs. (15) Pennsylvania,60–52
South,Second Round,(1) Duke vs. (8) George Washington,74–61
South,Second Round,(4) LSU vs. (12) Texas A&M,58–57
South,Second Round,(6) West Virginia vs. (14) Northwestern State,67–54
South,Second Round,(2) Texas vs. (10) NC State,75–54
South,Sweet 16,(1) Duke vs. (4) LSU,54–62
South,Sweet 16,(2) Texas vs. (6) West Virginia,74–71
South,Elite 8,(4) LSU vs. (2) Texas,70–60
Final Four,National Semifinal,(2) UCLA vs. (4) LSU,59–45
Final Four,National Semifinal,(3) Florida vs. (11) George Mason,73–58
Final Four,National Championship,(3) Florida vs. (2) UCLA,73–57
