Region,Round,Matchup,Score
East,First Round,(1) St. Joseph's vs. (16) Liberty,82–63
East,First Round,(8) Texas Tech vs. (9) Charlotte,76–73
East,First Round,(5) Florida vs. (12) Manhattan,60–75
East,First Round,(4) Wake Forest vs. (13) VCU,79–78
East,First Round,(6) Boston College vs. (11) Utah,58–51
East,First Round,(3) Pittsburgh vs. (14) Central Florida,53–44
East,First Round,(7) Wisconsin vs. (10) Richmond,76–64
East,First Round,(2) Oklahoma State vs. (15) Eastern Washington,75–56
East,Second Round,(1) St. Joseph's vs. (8) Texas Tech,70–65
East,Second Round,(4) Wake Forest vs. (12) Manhattan,84–80
East,Second Round,(3) Pittsburgh vs. (6) Boston College,59–54
East,Second Round,(2) Oklahoma State vs. (7) Wisconsin,70–62
East,Sweet 16,(1) St. Joseph's vs. (4) Wake Forest,84–80
East,Sweet 16,(2) Oklahoma State vs. (3) Pittsburgh,63–51
East,Elite 8,(2) Oklahoma State vs. (1) St. Joseph's,64–62
West,First Round,(1) Stanford vs. (16) Texas-San Antonio,71–45
West,First Round,(8) Alabama vs. (9) Southern Illinois,65–64
West,First Round,(5) Syracuse vs. (12) BYU,80–75
West,First Round,(4) Maryland vs. (13) UTEP,86–83
West,First Round,(6) Vanderbilt vs. (11) Western Michigan,71–58
West,First Round,(3) NC State vs. (14) Louisiana-Lafayette,61–52
West,First Round,(7) Xavier vs. (10) Louisville,80–70
West,First Round,(2) Mississippi State vs. (15) Monmouth,85–52
West,Second Round,(8) Alabama vs. (1) Stanford,70–67
West,Second Round,(4) Maryland vs. (5) Syracuse,92–87
West,Second Round,(6) Vanderbilt vs. (3) NC State,75–73
West,Second Round,(7) Xavier vs. (2) Mississippi State,89–74
West,Sweet 16,(7) Xavier vs. (3) NC State,60–55
West,Sweet 16,(8) Alabama vs. (4) Maryland,77–71
West,Elite 8,(7) Xavier vs. (8) Alabama,79–71
Midwest,First Round,(1) Kentucky vs. (16) Florida A&M,96–76
Midwest,First Round,(8) Washington vs. (9) UAB,76–102
Midwest,First Round,(5) Providence vs. (12) Pacific,58–66
Midwest,First Round,(4) Kansas vs. (13) Illinois-Chicago,78–53
Midwest,First Round,(6) Boston College vs. (11) Utah,58–51
Midwest,First Round,(3) Georgia Tech vs. (14) Northern Iowa,65–60
Midwest,First Round,(7) Michigan State vs. (10) Nevada,72–80
Midwest,First Round,(2) Gonzaga vs. (15) Valparaiso,76–49
Midwest,Second Round,(9) UAB vs. (1) Kentucky,76–75
Midwest,Second Round,(4) Kansas vs. (12) Pacific,78–63
Midwest,Second Round,(3) Georgia Tech vs. (6) Boston College,57–54
Midwest,Second Round,(10) Nevada vs. (2) Gonzaga,91–72
Midwest,Sweet 16,(3) Georgia Tech vs. (10) Nevada,72–67
Midwest,Sweet 16,(4) Kansas vs. (9) UAB,100–74
Midwest,Elite 8,(3) Georgia Tech vs. (4) Kansas,79–71
South,First Round,(1) Duke vs. (16) Alabama State,96–61
South,First Round,(8) Seton Hall vs. (9) Arizona,80–76
South,First Round,(5) Illinois vs. (12) Murray State,72–53
South,First Round,(4) Cincinnati vs. (13) East Tennessee State,80–77
South,First Round,(6) Texas vs. (11) Princeton,66–49
South,First Round,(3) North Carolina vs. (14) Air Force,63–52
South,First Round,(7) DePaul vs. (10) Dayton,76–69
South,First Round,(2) Connecticut vs. (15) Vermont,70–53
South,Second Round,(1) Duke vs. (8) Seton Hall,90–62
South,Second Round,(5) Illinois vs. (4) Cincinnati,92–68
South,Second Round,(3) North Carolina vs. (6) Texas,78–73
South,Second Round,(2) Connecticut vs. (7) DePaul,72–55
South,Sweet 16,(2) Connecticut vs. (6) Texas,79–71
South,Sweet 16,(1) Duke vs. (5) Illinois,72–62
South,Elite 8,(2) Connecticut vs. (1) Duke,79–78
Final Four,National Semifinal,(2) Connecticut vs. (3) Georgia Tech,79–68
Final Four,National Semifinal,(2) Oklahoma State vs. (7) Xavier,64–62
Final Four,National Championship,(2) Connecticut vs. (2) Oklahoma State,82–73
