Region,Round,Matchup,Score
South,First Round,(1) Alabama vs. (16) Texas A&M-Corpus Christi,96–75
South,First Round,(8) Maryland vs. (9) West Virginia,67–65
South,First Round,(5) San Diego State vs. (12) Charleston,63–57
South,First Round,(4) Virginia vs. (13) Furman,67–68
South,First Round,(6) Creighton vs. (11) NC State,72–63
South,First Round,(3) Baylor vs. (14) UC Santa Barbara,74–56
South,First Round,(7) Missouri vs. (10) Utah State,76–65
South,First Round,(2) Arizona vs. (15) Princeton,55–59
South,Second Round,(1) Alabama vs. (8) Maryland,73–51
South,Second Round,(5) San Diego State vs. (13) Furman,75–52
South,Second Round,(6) Creighton vs. (3) Baylor,85–76
South,Second Round,(15) Princeton vs. (7) Missouri,78–63
South,Sweet 16,(1) Alabama vs. (5) San Diego State,64–71
South,Sweet 16,(6) Creighton vs. (15) Princeton,86–75
South,Elite 8,(5) San Diego State vs. (6) Creighton,57–56
Midwest,First Round,(1) Houston vs. (16) Northern Kentucky,63–52
Midwest,First Round,(8) Iowa vs. (9) Auburn,75–83
Midwest,First Round,(5) Miami vs. (12) Drake,63–56
Midwest,First Round,(4) Indiana vs. (13) Kent State,71–60
Midwest,First Round,(6) Iowa State vs. (11) Pittsburgh,41–59
Midwest,First Round,(3) Xavier vs. (14) Kennesaw State,72–67
Midwest,First Round,(7) Texas A&M vs. (10) Penn State,59–76
Midwest,First Round,(2) Texas vs. (15) Colgate,81–61
Midwest,Second Round,(1) Houston vs. (9) Auburn,81–64
Midwest,Second Round,(5) Miami vs. (4) Indiana,85–69
Midwest,Second Round,(3) Xavier vs. (11) Pittsburgh,84–73
Midwest,Second Round,(2) Texas vs. (10) Penn State,71–66
Midwest,Sweet 16,(1) Houston vs. (5) Miami,75–89
Midwest,Sweet 16,(2) Texas vs. (3) Xavier,83–71
Midwest,Elite 8,(5) Miami vs. (2) Texas,88–81
East,First Round,(1) Purdue vs. (16) Fairleigh Dickinson,58–63
East,First Round,(8) Memphis vs. (9) Florida Atlantic,65–66
East,First Round,(5) Duke vs. (12) Oral Roberts,74–51
East,First Round,(4) Tennessee vs. (13) Louisiana,58–55
East,First Round,(6) Kentucky vs. (11) Providence,61–53
East,First Round,(3) Kansas State vs. (14) Montana State,77–65
East,First Round,(7) Michigan State vs. (10) USC,72–62
East,First Round,(2) Marquette vs. (15) Vermont,78–61
East,Second Round,(9) Florida Atlantic vs. (16) Fairleigh Dickinson,78–70
East,Second Round,(4) Tennessee vs. (5) Duke,65–52
East,Second Round,(3) Kansas State vs. (6) Kentucky,75–69
East,Second Round,(7) Michigan State vs. (2) Marquette,69–60
East,Sweet 16,(9) Florida Atlantic vs. (4) Tennessee,62–55
East,Sweet 16,(3) Kansas State vs. (7) Michigan State,98–93
East,Elite 8,(9) Florida Atlantic vs. (3) Kansas State,79–76
West,First Round,(1) Kansas vs. (16) Howard,96–68
West,First Round,(8) Arkansas vs. (9) Illinois,73–63
West,First Round,(5) Saint Mary's vs. (12) VCU,63–51
West,First Round,(4) UConn vs. (13) Iona,87–63
West,First Round,(6) TCU vs. (11) Arizona State,72–70
West,First Round,(3) Gonzaga vs. (14) Grand Canyon,82–70
West,First Round,(7) Northwestern vs. (10) Boise State,75–67
West,First Round,(2) UCLA vs. (15) UNC Asheville,86–53
West,Second Round,(8) Arkansas vs. (1) Kansas,72–71
West,Second Round,(4) UConn vs. (5) Saint Mary's,70–55
West,Second Round,(3) Gonzaga vs. (6) TCU,84–81
West,Second Round,(2) UCLA vs. (7) Northwestern,68–63
West,Sweet 16,(4) UConn vs. (8) Arkansas,88–65
West,Sweet 16,(3) Gonzaga vs. (2) UCLA,79–76
West,Elite 8,(4) UConn vs. (3) Gonzaga,82–54
Final Four,National Semifinal,(5) San Diego State vs. (9) Florida Atlantic,72–71
Final Four,National Semifinal,(4) UConn vs. (5) Miami,72–59
Final Four,National Championship,(4) UConn vs. (5) San Diego State,76–59
